'di 'dra	dindra
'du 'bral	dudral
'du 'dzi	dudzi
a mdo	amdo
b+h+rUM	droom
badzrI	benzi
badzra	benza
bco brgyad	chobgyé
bde 'gro	dendro
bde mchog	demchok
bkra shis	tashi
bla 'og	la'o
bla brang	labrang
bras ljongs	drenjong
byang chub	changchub
byin gyis rlobs	jingyi lob
chab mdo	chamdo
che mchog	chemchok
ci 'dra	chindra
da lta	danta
da ltar	dantar
de 'brel	dendrel
de 'dra	dendra
de bi	devi
de wa	deva
dga' ldan	ganden
dge 'dun	gendün
dka' 'grel	kandrel
ga 'dra	gandra
karma	karma
le'u	le'u
lha rje	lharjé
lo 'dab	lodab
maN+Da la	mandala
maN+Dal	mendal
man ngag	mengak 
mkha' 'gro	khandro
mkhas 'jug	khenjuk
na kra	nakra
ngag dbang	ngawang
o rgyan	orgyen
pa d+ma	pema
pad+ma	pema
phat	pé
phaT	pé
phru gu	pugu
rdo rje	dorje
rdzogs chen	dzogchen
re 'dod	rendö
rgyal rtse	gyantsé
rgyu 'bras	gyundré
rgyu 'grul	gyundrul
rgyu mtshan	gyumtsen
rig pa	rigpa
rta mgrin	tamdrin
sa 'og	sawo
sa bcad	sabché
sangs rgyas	sangye
sarba	sarva
sde dge	derge
sgro 'dogs	drondok
sid+d+hi	siddhi
skyabs 'gro	kyamdro
skye 'gro	kyendro
skye mched	kyemché
sprul sku	tulku
spyod 'jug	chönjuk
svaha	soha
swA hA	soha
tiSh+Tha	tishta
tshe 'dzin	tsendzin 
tsit+ta	tsitta
u rgyan	urgyen
wAka	waka
ze'u	ze'u
zhe 'dod	shendö
e ma hoH	emaho
ye shes	yeshe
ye she	yeshe
pi waM	piwam
ut+pal	utpal
yid 'ong	yi'ong
dpal be'u	palbe'u
d+harma	dharma
swasti	svasti
swa sti	svasti
mi 'gyur	mingyur
rig 'dzin	rigdzin
pad+mo	pemo
rig	rig
'ja' 'od	ja'ö
ma 'ongs	ma'ong
man+da rA ba	mandarava
dbang bsgyur ba	wang gyurwa
he ru kaH	heruka
he ru ka	heruka
dpal chen po	palchenpo
bkra mi shis pa	trami shipa
bi dza ya	vidzaya
pad+ma'i	pemé
bsod rgyal	sogyal
byang sems	changsem
bar+dza	benza
hU~M	hung
hU~M`	hung
oM	om
AH	ah
b+h+yo	jo
b+h+yoH	jo
bi shwa	bisho
mu khe b+h+yaH	mukhebé
ta khaM	takham
ud+ga te	udgaté
s+pha ra Na	saparana
i maM	imam
ga ga na	gagana
b+h+rU~M	droom
wA gi	vagi
shwa ri	shvari
he tu	hetu
d+ha rmA	dharma
pra b+hA wA	prabhava
ni ro da	nirodha
e waM	evam
wA dI	vadi
ma hA	maha
shra ma NaH	shramana
gra ha	graha
nAk+Sha tra	nakshatra
d+h+ya mi	dhyami
ka ra Ni	karani
he he	hé hé
bhan+dha	bhenda
dhA ra ya	dharaya
ni run+dha	nirundha
a mu ka	amuka
ur+Na	urna
tsin+ta	tsinta
dzwa la	dzala
bhur	bhur
ti thi	titi
a ka ni	akani
ni ka ni	nikani
a bhi la	abhila
mang+ha lé	manghalé
maN+Da le	mandalé
saM gha	sangha
saM gha ya	sanghaya
mang+ga la	mangala
bha ba tu	bhavatu
mchod 'os	chö'ö
tsaN+Da lI	tsendali
mi 'dod	mindö
na moH	namo
bzhi bcu	shyibchu
mi 'byung	minjung
lnga bcu	ngabchu
