ka|1
ka ka|2
ka ka ni|2?
ka ka rang|2?
ka ka ri|2?
ka ki ni|2?
ka ku sta|2?
ka ku bha ya|3
ka ku b+ha ya|3
ka ke ri ya|3?
ka ko|3?
ka ko la|3?
ka kha|3?
ka kha pa|3?
ka khol ma|3?
ka mgo|3?
ka ca|3?
ka can|3?
ka ci|3?
ka ci skyem ras|3?
ka ci li|3?
ka gcig sgo gcig|3?
ka lci|3?
ka lcog|3?
ka cha|3?
ka chug|3?
ka ta|3?
ka ta ka|3?
ka ta ma ka|4
ka ta ya|4?
ka ta ya na nog can|4?
ka ta ra|4?
ka ta ru|4?
ka tan|4?
ka tam bha|4?
ka ta'i bu|4?
ka ta'i bu mo|4?
ka to ra|4?
ka t+ya'i bu|4?
ka tya'i bu|4?
ka Ta ki|4?
ka Tu ka|4?
ka To ra|4?
ka tha ra|4?
ka thi shi|4?
ka the|4?
ka tho|4?
ka thog|4?
ka da ru ha|4?
ka dag|4?
ka dam pa|4?
ka dam pa can|4?
ka sde|4?
ka na ka|4?
ka na ka warma|5
ka na tsa|5?
ka na tsa na|5?
ka na ya|5?
ka ni ka|5?
ka Na ya|5?
ka gnam|5?
ka pa|5?
ka pa la|5?
ka pi|5?
ka pi ka tsha|5?
ka pi da|5?
ka pi na|5?
ka pi la mu ni|6
ka ping tha|6?
ka pin da|6?
ka pu ta|6?
ka ped|6?
ka dpe|6?
ka pha|6?
ka phreng|6?
ka 'phan|6?
ka ba|6?
ka ba bzang po|6?
ka ba'i sbyar bkod|6?
ka bi ta|6?
ka bi ta la|6?
ka bu lo|6?
ka bed|6?
ka bel|6?
ka bo ka|6?
ka ma cha|8
ka ma ta|8?
ka ma rtsi|8?
ka ma ru|8?
ka ma la|8?
ka ma la shI la|8?
ka ma li|8?
ka mang ma|8?
ka mig|8?
ka mu la rdo rgyad|8?
ka med|8?
ka smad sum cu|8?
ka tsa rked nyag|8?
ka tsa ru tsa ka|8?
ka tsa lin di|8?
ka tsang ka la|8?
ka tsi li ban|9
ka rtsa ga la|9?
ka rtsam|9?
ka rtse|9?
ka rtsom|9?
ka tshal|9?
ka tshigs chen po|9?
ka gzhu|9?
ka ya|9?
ka ya go'u ri|9?
ka yang rtse|9?
ka ra|9?
ka ra da|9?
ka ra na jus|9?
ka ra na rus|9?
ka ra nang|9?
ka ra bi ra|9?
ka ra ru be ka|10
ka ra ha ri|10?
ka rany dza|10?
ka ranya dza|10?
ka ran da ba|10?
ka ran Da|10?
ka ras|10?
ka ri'i bu mo|10?
ka ru|10?
ka re|10?
ka la ta|10?
ka la ping ka|10?
ka la bu|10?
ka la ro zan|10?
ka la sha|10?
ka lag|10?
ka lan ta ka|10?
ka lan da ka|11
ka lan dza ri ka|11?
ka lam ka|11?
ka lam ba|11?
ka lA pa|11?
ka li|11?
ka li ka|11?
ka ling ga|11?
ka le|11?
ka sha|11?
ka shi ka|11?
ka shi ka phra mo|11?
ka shi ru|11?
ka shis|11?
ka shubs|11?
ka sa|11?
ka san ka ra|11?
ka ha na ya na shi la|12
karka ta|12?
karke ta|12?
kag|12?
kag ka ba|12?
kang ka|12?
kang ka ra|12?
kang dang king|12?
kad|12?
kan|12?
kan ni ka|12?
kan ma|12?
kan tsi|12?
kaN Ta kA ri|12?
kalpa|12?
kab kob|13
kab sha|13?
kam bi la|13?
kam bo dza|13?
kam bo dzi ka|13?
kaM ka|13?
karma|13?
ka'u|13?
ka'u his|13?
kar|13?
kar skyin|13?
kar rgyal|13?
kar rgyud|13?
kar chag|13?
kar ni ka|13?
kar smug|14
kar yol|14?
kar lang ba|14?
kar langs pa|14?
kar sha pa ni|14?
kar shubs|14?
kar sa|14?
kar sog|14?
kSa ya|14?
