ka kha 	alphabet
ka khol 	pillar-hole
ka tshigs chen mo 	Ka chigs čhen mo, title of a historiographical work
ka bzhi gdung brgyad ma 	(PN) Ka-bźi-gduṅ-brgyad-ma
kun 	1) (N) all, everyone; 2) (A) all
kun mkhyen 	the Omniscent One
kun dga' bo 	(PN) Kun-dgaɣ-bo (Skt. Ānanda)
kun dga' ra ba 	copse, park
kun tu 	1) all around; 2) through
kun tu bzang po 	(PN) Kun-tu-bzaṅ-po (Skt. Samantabhadra)
kun nas 	perfectly
kun nas dga' ba 	surpassingly lovely
ker 	(TR) to raise
ko ba 	hide
ko sa la 	(PN) Ko-sa-la (Skt. Kośala)
kong po 	(PN) Koṅ-po, a historical region in Tibet
kyi hud 	(Intrj) Oh!
kye 	(Intrj) Oh! Alas!
kye ma 	(Intrj) Oh! Alas!
klad kor 	zero
klu rgyal 	(PN) Klu-rgyal
klu brgyad mkhan 	(PN) Klu-brgyad-mkhan
klu dbang 	lord of serpents
klu mo 	serpent demoness (Skt. nāgī)
klung 	river valley
klog  v2 {bklags} v3 {bklag} v4 {lhogs}	(TR) to read
dka' ba 	(to be) difficult
dkar nag 	friendly or unfriendly, lit. “white or black”
dkar po 	white
dkar ba 	(to be) loyal
dkar mi 	loyal person
dkar mo 	white
dkar yol 	porcelain cup
dkyil 'khor 	circle, disc
bka' 	(HON) order
bka' grims 	(OT; HON for {khrims}) sovereign law
bka' chems 	(HON for {chems}) testament
bka' chems ka khol ma 	Bkaɣ čhems ka khol ma, title of a historiographical work
bka' drin 	(HON for {drin}) kindness
bkal 	see 'gel 
bkur 	see 'khur 
bkra mi shis 	misfortune, mischief
bkres 	(to be) hungry
bkrongs 	see 'grong 
bkrol 	see 'grol 
bklags 	see klog 
rkang pa 	leg, foot
rkang mig 	(PN) Rkaṅ-mig (Skt. Akṣapāda)
rku  v2 {brkus} v3 {brku} v4 {rkus}	(TR) to steal
rko  v2 {brkos} v3 {brko} v4 {rkos}	(TR) to dig (out)
rkos 	see rko 
rkyang 	single
rkyal pa 	leather bag
rkyen 	cause
rkyen gyis 	(Postp) due to, because of (+ GEN)
lkog tu 	secretly
lkog lab 	slander
lkog lab tu 	slanderously
ska rags 	girdle
skad 	1) voice; 2) words
skad cig 	a moment
skar ma 	constellation
skal ba 	fortune
sku 	(HON for {lus}) body
sku mkhar 	(HON for {mkhar}) fortified castle
sku thim 	(HON for {thim}; INTR) to disappear
sku tshe 	(HON for {tshe}) lifetime
skur  v2/v3 {bskur} v4 {skur}	(TR) 1) to send; 2) to give
skul  v2/v3 {bskul}	(TR) to exhort
skong chu lag 	arm(s) of the Skoṅ-čhu river
skom 	1) (to be) thirsty; 2) (N) thirst
skom tshugs 	chin
skor  v2/v3 {bskor} v4 {skor}	(TR) 1) to surround; to besiege (+ DAT); 2) to turn; 3) to set in motion, to brandish
skya 	(to be) 1) pale; 2) flavourless
skya bo 	pale
skyabs 	protection
skyabs seng 	(PN) Skyabs-seṅ (Skt. Pāṇḍu)
skyi shod 	(PN) Skyi-śod, name of a region
skyid sdug 	happiness and misery
skyid po 	happiness
skyur  v2/v3 {bskyur}	(TR) to throw away
skye  v2 {skyes}	(INTR) 1) to be born; 2) to grow
skye ba 	1) birth; 2) life
skye bo 	man, human being
skyed  v2/v3 {bskyed}	(TR) to increase, to generate
skyen pa 	(A) precipitate
skyel  v2/v3 {bskyal} v4 {skyol}	(TR) to conduct, to bring
skyes 	see skye 
skyes pa 	man, male person
skyes bu 	living being
skyes bu chen po 	great person (Skt. mahāpuruṣa)
skyo 	(INTR) to be vexed (with +DAT)
skyong  v2 {bskyangs} v3 {bskyang} v4 {skyongs}	(TR) 1) to guard; 2) to tend
skyon 	1) fault; harm; 2) misdeed
skyob  v2 {bskyabs} v3 {bskyab} v4 {skyobs}	(TR) to protect, to guard; to save
skra 	hair
skrag dngang  v2 {skrag dngangs}	(INTR) to be terrified, frightened
skrag dngangs 	see skrag dngang 
skri  v2 {bskris} v3 {bskri} v4 {skris}	(TR) to charge, to assign
bskal pa 	aeon
bskur 	see skur 
bskul 	see skul 
