paternal uncle	{a khu}
mother	{a ma}
aunt	{a ne}
maternal uncle	{a zhang}
cow	{ba}
Vatsa	(PN) {bad sa la} (Skt. Vatsa)
bride	{bag ma}
ox	{ba lang}
spinning of wool	{bal las}
Nepalese	{bal po}
wool	{bal}
foot-race	{bang}
magazine, treasury	{bang mdzod}
tomb, burial mound	{bang so}
subject, servant	{'bangs}
middle	{bar}
cow, goat	{ba ra bong} cow, goat, and ass
ass	{ba ra bong} cow, goat, and ass
danger	{bar chad}
during	(POSTP) {bar du} (+ GEN)
while	(POSTP) {bar du} (+ GEN)
sometimes, once	{bar 'ga'}
in the meantime, until	(POSTP) {bar la}
Ba-su-mi-tra	(PN) {ba su mi tra} (Skt. Vasumitra)
alone, mere	{'ba' zhig}
only	{'ba' zhig}
accompanied by	{bcas}
possessed of	{bcas}
together with	{bcas}
eighteen	{bco brgyad}
trust	{bcol gtams}
fifteen	{bco lnga}
Victorious One	(Skt. bhagavant), an epithet of Buddha {bcom ldan 'das}
artificial	{bcos ma}
ten	{bcu}
I	(1SG) {bdag} =(HML) for {nga}
we	(1PL) {bdag cag}
master	{bdag}
master	{bdag po}
happiness	{bde ba}
easily	{bde bar}
true, truth	{bden pa}
true	{bden}
to be true	{bden}
to be happy	(INTR) {bde skyid}
happiness	{bde skyid}
to be happy	{bde}
to be peaceful	{bde}
happy	{bde}
peaceful	{bde}
demon	{bdud}
demon-race	{bdud rigs}
seven	{bdun}
difficulty	{bgegs}
clothes	{bgo ba}
to divide	(TR) {bgod}
to put on	(TR) {bgo}
to count	(TR) {bgrang}
to reckon, to consider	(TR) {bgrang}
elder man	(N) {bgres pa}
elder	(A) {bgres pa}
to confer, to discuss	(INTR) {bgro}
to do,to say	(TR) {bgyid} = (HML) for {byed}
testament	{bka' chems} = (HON) for {chems}
kindness	{bka' drin} = (HON) for {drin}
sovereign law	(OT) {bka' grims} = (HON) for {khrims}
order	(HON) {bka'}
misfortune, mischief	{bkra mi shis}
to be hungry	{bkres}
hungry	{bkres}
superior, better	{bla}
what is above	{bla}
lama, teacher	{bla ma}
attracting and repelling	{blang dor}
sign, symbol	{bla}
narrow-minded	{blo chung}
greed	{blo 'dod}
intelligence, intellect	{blo gros}
understanding	{blo gros}
intelligent, wise	{blo ldan}
mind, thought	{blo}
great councillor	{blon che}
evil-minded	{blo ngan}
minister	{blon po}
fool	(N) {blun po}
Tibetan	Tibetan (woman) {bod mo}
Tibetan	Tibetan (man) {bod pa}
Tibet	(PN) {bod}
Tibetan language	{bod skad}
to call, to summon	(TR) {'bod}
written Tibetan	{bod yig}
to give	(TR) {'bogs}
ass	{bong bu}
