ཀ་ཁ་|alphabet
ཀ་ཁོལ་|pillar-hole
ཀ་ཚིགས་ཆེན་མོ་|Ka chigs čhen mo, title of a historiographical work
ཀ་བཞི་གདུང་བརྒྱད་མ་|(PN) Ka-bźi-gduṅ-brgyad-ma
ཀུན་|1) (N) all, everyone; 2) (A) all
ཀུན་མཁྱེན་|the Omniscent One
ཀུན་དགའ་བོ་|(PN) Kun-dgaɣ-bo (Skt. Ānanda)
ཀུན་དགའ་ར་བ་|copse, park
ཀུན་ཏུ་|1) all around; 2) through
ཀུན་ཏུ་བཟང་པོ་|(PN) Kun-tu-bzaṅ-po (Skt. Samantabhadra)
ཀུན་ནས་|perfectly
ཀུན་ནས་དགའ་བ་|surpassingly lovely
ཀེར་|(TR) to raise
ཀོ་བ་|hide
ཀོ་ས་ལ་|(PN) Ko-sa-la (Skt. Kośala)
ཀོང་པོ་|(PN) Koṅ-po, a historical region in Tibet
ཀྱི་ཧུད་|(Intrj) Oh!
ཀྱེ་|(Intrj) Oh! Alas!
ཀྱེ་མ་|(Intrj) Oh! Alas!
ཀླད་ཀོར་|zero
ཀླུ་རྒྱལ་|(PN) Klu-rgyal
ཀླུ་བརྒྱད་མཁན་|(PN) Klu-brgyad-mkhan
ཀླུ་དབང་|lord of serpents
ཀླུ་མོ་|serpent demoness (Skt. nāgī)
ཀླུང་|river valley
ཀློག་|(TR) to read\nv1 ཀློག་ v2 བཀླགས་ v3 བཀླག་ v4 ལྷོགས་
བཀླགས་|see ཀློག་
བཀླག་|see ཀློག་
ལྷོགས་|see ཀློག་
དཀའ་བ་|(to be) difficult
དཀར་ནག་|friendly or unfriendly, lit. “white or black”
དཀར་པོ་|white
དཀར་བ་|(to be) loyal
དཀར་མི་|loyal person
དཀར་མོ་|white
དཀར་ཡོལ་|porcelain cup
དཀྱིལ་འཁོར་|circle, disc
བཀའ་|(HON) order
བཀའ་གྲིམས་|(OT; HON for ཁྲིམས་) sovereign law
བཀའ་ཆེམས་|(HON for ཆེམས་) testament
བཀའ་ཆེམས་ཀ་ཁོལ་མ་|Bkaɣ čhems ka khol ma, title of a historiographical work
བཀའ་དྲིན་|(HON for དྲིན་) kindness
བཀལ་|see འགེལ་
བཀུར་|see འཁུར་
བཀྲ་མི་ཤིས་|misfortune, mischief
བཀྲེས་|(to be) hungry
བཀྲོངས་|see འགྲོང་
བཀྲོལ་|see འགྲོལ་
བཀླགས་|see ཀློག་
རྐང་པ་|leg, foot
རྐང་མིག་|(PN) Rkaṅ-mig (Skt. Akṣapāda)
རྐུ་|(TR) to steal\nv1 རྐུ་ v2 བརྐུས་ v3 བརྐུ་ v4 རྐུས་
བརྐུས་|see རྐུ་
བརྐུ་|see རྐུ་
རྐུས་|see རྐུ་
རྐོ་|(TR) to dig (out)\nv1 རྐོ་ v2 བརྐོས་ v3 བརྐོ་ v4 རྐོས་
བརྐོས་|see རྐོ་
བརྐོ་|see རྐོ་
རྐོས་|see རྐོ་
རྐོས་|see རྐོ་
རྐྱང་|single
རྐྱལ་པ་|leather bag
རྐྱེན་|cause
རྐྱེན་གྱིས་|(Postp) due to, because of (+ GEN)
ལྐོག་ཏུ་|secretly
ལྐོག་ལབ་|slander
ལྐོག་ལབ་ཏུ་|slanderously
སྐ་རགས་|girdle
སྐད་|1) voice; 2) words
སྐད་ཅིག་|a moment
སྐར་མ་|constellation
སྐལ་བ་|fortune
སྐུ་|(HON for ལུས་) body
སྐུ་མཁར་|(HON for མཁར་) fortified castle
སྐུ་ཐིམ་|(HON for ཐིམ་; INTR) to disappear
སྐུ་ཚེ་|(HON for ཚེ་) lifetime
སྐུར་|(TR) 1) to send; 2) to give\nv1 སྐུར་ v2 བསྐུར་ v3 བསྐུར་ v4 སྐུར་
བསྐུར་|see སྐུར་
བསྐུར་|see སྐུར་
སྐུལ་|(TR) to exhort\nv1 སྐུལ་ v2 བསྐུལ་ v3 བསྐུལ་ v4 སྐུལ་
བསྐུལ་|see སྐུལ་
བསྐུལ་|see སྐུལ་
སྐོང་ཆུ་ལག་|arm(s) of the Skoṅ-čhu river
སྐོམ་|1) (to be) thirsty; 2) (N) thirst
སྐོམ་ཚུགས་|chin
སྐོར་|(TR) 1) to surround; to besiege (+ DAT); 2) to turn; 3) to set in motion, to brandish\nv1 སྐོར་ v2 བསྐོར་ v3 བསྐོར་ v4 སྐོར་
བསྐོར་|see སྐོར་
བསྐོར་|see སྐོར་
སྐྱ་|(to be) 1) pale; 2) flavourless
སྐྱ་བོ་|pale
སྐྱབས་|protection
སྐྱབས་སེང་|(PN) Skyabs-seṅ (Skt. Pāṇḍu)
སྐྱི་ཤོད་|(PN) Skyi-śod, name of a region
སྐྱིད་སྡུག་|happiness and misery
སྐྱིད་པོ་|happiness
སྐྱུར་|(TR) to throw away\nv1 སྐྱུར་ v2 བསྐྱུར་ v3 བསྐྱུར་ v4 སྐྱུར་
བསྐྱུར་|see སྐྱུར་
བསྐྱུར་|see སྐྱུར་
སྐྱེ་|(INTR) 1) to be born; 2) to grow\nv1 སྐྱེ་ v2 སྐྱེས་ v3 སྐྱེ་ v4 སྐྱེ་
སྐྱེས་|see སྐྱེ་
སྐྱེ་བ་|1) birth; 2) life
སྐྱེ་བོ་|man, human being
སྐྱེད་|(TR) to increase, to generate\nv1 སྐྱེད་ v2 བསྐྱེད་ v3 བསྐྱེད་ v4 སྐྱེད་
བསྐྱེད་|see སྐྱེད་
བསྐྱེད་|see སྐྱེད་
སྐྱེན་པ་|(A) precipitate
སྐྱེལ་|(TR) to conduct, to bring\nv1 སྐྱེལ་ v2 བསྐྱལ་ v3 བསྐྱལ་ v4 སྐྱོལ་
བསྐྱལ་|see སྐྱེལ་
བསྐྱལ་|see སྐྱེལ་
སྐྱོལ་|see སྐྱེལ་
སྐྱེས་|see སྐྱེ་
སྐྱེས་པ་|man, male person
སྐྱེས་བུ་|living being
སྐྱེས་བུ་ཆེན་པོ་|great person (Skt. mahāpuruṣa)
སྐྱོ་|(INTR) to be vexed (with +DAT)
སྐྱོང་|(TR) 1) to guard; 2) to tend\nv1 སྐྱོང་ v2 བསྐྱངས་ v3 བསྐྱང་ v4 སྐྱོངས་
བསྐྱངས་|see སྐྱོང་
བསྐྱང་|see སྐྱོང་
སྐྱོངས་|see སྐྱོང་
སྐྱོན་|1) fault; harm; 2) misdeed
སྐྱོབ་|(TR) to protect, to guard; to save\nv1 སྐྱོབ་ v2 བསྐྱབས་ v3 བསྐྱབ་ v4 སྐྱོབས་
བསྐྱབས་|see སྐྱོབ་
བསྐྱབ་|see སྐྱོབ་
སྐྱོབས་|see སྐྱོབ་
སྐྲ་|hair
སྐྲག་དངང་|(INTR) to be terrified, frightened\nv1 སྐྲག་དངང་ v2 སྐྲག་དངངས་ v3 སྐྲག་དངང་ v4 སྐྲག་དངང་
སྐྲག་དངངས་|see སྐྲག་དངང་
སྐྲག་དངངས་|see སྐྲག་དངང་
སྐྲི་|(TR) to charge, to assign\nv1 སྐྲི་ v2 བསྐྲིས་ v3 བསྐྲི་ v4 སྐྲིས་
བསྐྲིས་|see སྐྲི་
བསྐྲི་|see སྐྲི་
སྐྲིས་|see སྐྲི་
བསྐལ་པ་|aeon
བསྐུར་|see སྐུར་
བསྐུལ་|see སྐུལ་
བསྐོར་|see སྐོར་
བསྐྱང་|see སྐྱོང་
བསྐྱབ་|see སྐྱོབ་
བསྐྱབས་|see སྐྱོབ་
བསྐྱལ་|see སྐྱེལ་
བསྐྱུར་|see སྐྱུར་
བསྐྱེད་|see སྐྱེད་
བསྐྲི་|see སྐྲི་

ཁ་|1) mouth; 2) surface
ཁ་ཆེམས་|testament
ཁ་དོག་|colour
ཁ་མདོག་|complexion
ཁ་ན་|(Postp) on (+ GEN)
ཁ་སྤུ་|beard
ཁ་བ་|snow
ཁ་བ་ཅན་|1) (A) snowy (lit. possessing snow), snow-clad; 2) (N) Tibet
ཁ་འཛིན་|assistant
ཁ་ཟས་|food
ཁ་རོག་པ་|silent
ཁང་|house
ཁང་པ་|house
ཁང་བུ་ |1) little house; 2) room
ཁབ་|residence
ཁབ་ལེན་རྡོ་|lodestone
ཁམས་|see འཁམས་
ཁམས་ཆེན་པོ་བརྒྱད་|(PN) Khams čhen po brgyad, title of a Bon-po work
ཁམས་པ་|(A) faint
ཁམས་བཟང་|good health
ཁར་|(Postp) on, upon, after; in addition to (+ GEN / ABS)
ཁལ་|burden, load
ཁུང་|hole
ཁུང་བུ་|hole
ཁེ་སྤོག་|profit
ཁེངས་|see འཁེངས་
ཁོ་|(3SG M) he
ཁོ་ཐག་|see ཆོད་
ཁོ་པ་|(3SG M) he
ཁོ་བོ་|(1SG M) I
ཁོ་མ་|(3SG F) she
ཁོ་མོ་|(1SG F) I
ཁོ་རང་|(3SG M) he, himself
ཁོག་ཆེ་|of great intrinsic power
ཁོང་|(3SG HON) he, she
ཁོང་མཛངས་|inner knowledge
ཁོང་སེང་|inner cavern
ཁྭ་ཏ་|crow
ཁྱད་|difference
ཁྱད་པར་|difference
ཁྱད་པར་|in particular
ཁྱད་པར་དུ་|in particular
ཁྱབ་|(INTR) to be comprised (by + ERG)
ཁྱི་|dog
ཁྱི་མོ་|bitch
ཁྱི་རོ་|dog-cadaver
ཁྱིམ་|house
ཁྱིམ་ཐབ་|house and hearth
ཁྱིམ་བདག་|householder
ཁྱིམ་མཚེས་|neighbour
ཁྱིམ་སོ་|household
ཁྱུ་|flock
ཁྱུང་ཚ་དཔལ་འདྲེན་|(PN) Khyuṅ-cha-dpal-ɣdren
ཁྱེད་|(2SG / PL; HON) you
ཁྱེའུ་|boy
ཁྱེར་|see འཁྱེར་
ཁྱོ་|husband, man
ཁྱོ་བཟང་|good husband
ཁྱོད་|(2SG / PL) you
ཁྲ་|falcon
ཁྲག་|blood
ཁྲག་ཁྲུག་|complicate, confused
ཁྲི་|ten thousand
ཁྲི་|1) throne; 2) (PN) name of a Tibetan dynasty
ཁྲི་དགྲ་དཔུང་བཙན་|(PN) Khri-dgra-dpuṅ-bcan
ཁྲི་སྙན་གཟུགས་བཙན་|(PN) Khri-sñan-gzugs-bcan
ཁྲི་དེ་ཐོག་བཙན་|(PN) Khri-de-thog-bcan
ཁྲི་བཙན་ནམ་|(PN) Khri-bcan-nam
ཁྲི་བརྩིགས་འབུམ་བརྡུགས་|(PN) Khri-brcigs-ɣbum-brdugs
ཁྲིད་|(TR) to lead, conduct
ཁྲིམས་|law
ཁྲེ་ལོག་|1) (INTR) to roll one’s self; 2) (N) a rolling
ཁྲེ་ལོག་ལོག་|an incessant continuous rolling
ཁྲོ་|1) (to be) angry, wrathful; 2) (N) rage\nv1 ཁྲོ་ v2 ཁྲོས་ v3 ཁྲོ་ v4 ཁྲོ་
ཁྲོས་|see ཁྲོ་
ཁྲོ་གཉེར་ཅན་|(PN) Khro-gñer-čan (Skt. Bhṛkuṭī)
ཁྲོས་|see ཁྲོ་
མཁའ་ལྡིང་|see ནམ་མཁའ་ལྡིང་
མཁར་|castle
མཁས་པ་|1) skilled (in + DAT), wise, learned; 2) wise one
མཁས་པོ་ |a skilled male person; a scholar
མཁྱེན་|(HON for ཤེས་; TR) 1) to recognise, to discern, to realise; 2) to understand, to know
འཁམས་|(INTR) to faint away\nv1 འཁམས་ v2 ཁམས་ v3 འཁམས་ v4 འཁམས་
ཁམས་|see འཁམས་
འཁར་བ་|staff
འཁལ་|(TR) to spin\nv1 འཁལ་ v2 བཀལ་ v3 བཀལ་ v4 ཁོལ་
བཀལ་|see འཁལ་
བཀལ་|see འཁལ་
ཁོལ་|see འཁལ་
འཁུར་|(TR) to carry\nv1 འཁུར་ v2 བཀུར་ v3 འཁུར་ v4 འཁུར་
བཀུར་|see འཁུར་
འཁེངས་|(INTR) to be full\nv1 འཁེངས་ v2 ཁེངས་ v3 འཁེངས་ v4 འཁེངས་
ཁེངས་|see འཁེངས་
འཁོར་|1) (INTR) 1) to turn round; 2) to circle; 2) (N) retinue, attendants
འཁོར་བ་|cycle of transmigration / existence (Skt. saṃsāra)
འཁོར་ལོ་|wheel
འཁོར་ལོས་སྒྱུར་|universal emperor
འཁོལ་|(TR) to appoint, to use\nv1 འཁོལ་ v2 བཀོལ་ v3 བཀོལ་ v4 ཁོལ་
བཀོལ་|see འཁོལ་
བཀོལ་|see འཁོལ་
ཁོལ་|see འཁོལ་
འཁྱེར་|(TR) to carry, to carry away\nv1 འཁྱེར་ v2 ཁྱེར་ v3 འཁྱེར་ v4 འཁྱེར་
ཁྱེར་|see འཁྱེར་
འཁྲུག་|(INTR) to be disturbed\nv1 འཁྲུག་ v2 འཁྲུགས་ v3 འཁྲུག་ v4 འཁྲུག་
འཁྲུགས་|see འཁྲུག་
འཁྲུག་དུས་|time for a duel
འཁྲུང་|(HON for སྐྱེ་; INTR) to be born; སྐུ་འཁྲུང་ (HON) to be born\nv1 འཁྲུང་ v2 འཁྲུངས་ v3 འཁྲུང་ v4 འཁྲུང་
འཁྲུངས་|see འཁྲུང་
འཁྲུངས་|see འཁྲུང་

ག་རེ་|Where is [he / she / it]?
ག་ལ་|(INT) to / for whom? where?
གང་|(INT) who? what? which?
གང་|(to be) full
གང་ལྟར་ན་ཡང་|be that as it may
གང་དུ་|(INT) where? wither?
གང་ན་|(INT) where?
གང་ན་བ་|whereabouts; lit. the where-place
གང་ནས་|where from?
གང་བ་|full
གང་ཡང་|any(thing), whatsoever
གངས་|snow-mountain
གངས་དཀར་|white snow-mountain
གངས་ཅན་|Tibet
གངས་རི་སོག་ཁ་|(PN) Gaṅs-ri-sog-kha
གད་མོ་|laugh
གར་|(INT) whither?
གལ་ཏེ་|if
གལ་ཏེ་ན་|perhaps
གུ་རུ་ལེགས་|(PN) Gu-ru-legs
གུམ་|see འགུམ་
གུར་|tent
གུས་པ་|reverence
གོ་|place, spot
གོ་|(TR) to understand
གོ་ཆོད་|capable
གོ་བ་|understanding
གོང་|the above
གོང་ན་|(Postp) before (+ GEN)
གོང་པོ་|clod
གོང་མ་|previous one
གོན་|(TR) to put on
གོས་|cloth, clothes
གོས་ཐུང་|trousers
གོས་དར་|silk cloth(es)
གོས་སེར་ཅན་|(PN) Gos-ser-čan, lit. dressed in yellow clothes, an epithet of Viṣṇu (Skt. pītāmbara)
གོས་ཧྲུལ་|tattered robe
གཽ་ཏ་མ་|(PN) Gautama, the name of the Buddha (Skt. Gautama)
གྱང་|pisé
གྱིས་|see བགྱིད་
གྱུར་|see འགྱུར་
གྱེས་|see འགྱེ་
གྱོན་|(TR) to wear
གྱོས་པོ་|father-in-law
གྲགས་|see འགྲགས་
གྲངས་མེད་|innumerable
གྲངས་མེད་པ་|innumerable
གྲལ་|place in the row
གྲལ་པ་|person sitting in a row
གྲི་གུམ་བཙན་པོ་|(PN) Gri-gum-bcan-po
གྲུ་གུ་|(PN) Gru-gu, i.e. Western Turks
གྲུ་གསུམ་|triangular
གྲུང་|(to be) wise
གྲུང་ཞན་|weak-minded person
གྲུབ་|see འགྲུབ་
གྲུབ་པ་|accomplished one
གྲོ་|wheat
གྲོག་མཁར་བ་|(PN) Grog-mkhar-ba (Skt. Vālmīki)
གྲོག་མ་|ant
གྲོགས་|friend, companion
གྲོགས་པོ་ |a male friend
གྲོགས་མོ་ |female friend
གྲོང་ཁྱེར་|village, town
གྲོང་ཆོག་|village rituals
གྲོངས་|see འགྲོང་
གྲོས་ཉེས་|bad counsel
གྲྭ་|1) corner; 2) school
གླ་རྩི་|musk
གླང་|ox
གླང་ཆེན་|elephant
གླང་པོ་ཆེ་|elephant
གླང་བུ་|calf
གླང་དམར་|red ox
གླད་|head
གླིང་|island
གླེན་པ་|(to be) stupid
དགའ་|(TR) 1) to rejoice in, to be happy / delighted about (+ DAT); 2) to like
དགའ་ལྡན་|(PN) Dgaɣ-ldan heaven (Skt. Tuṣita)
དགའ་བཤེས་|spiritual advisor, < *དགའ་བའི་བཤེས་ཉེན་ (Skt. kalyāṇamitra) friend to virtue, spiritual advisor
དགས་|(INTR) to be cracked
དགུ་|nine
དགུང་|sky
དགུན་|winter
དགུམ་|see འགུམས་
དགེ་བསྙེན་|lay practitioner
དགེ་བ་|1) virtuous deed, virtue; 2) (to be) virtuous
དགེ་ལེགས་|prosperity
དགེ་སློང་|monk
དགོངས་|(HON for སེམས་; TR) to think, to reflect (on + DAT)
དགོད་|(INTR) to laugh; གད་མོ་དགོད་ to laugh
དགོན་པ་|hermitage
དགོན་པ་པ་ |hermit
དགོས་|(TR) to need; (MOD) to be necessary, have to, need
དགྲ་|enemy
དགྲ་བཅོམ་པ་|Arhat (Skt. arhant)
དགྲ་བོ་|enemy
དགྲ་ལྷ་|one of tutelary deities
བགེགས་|difficulty
བགོ་|(TR) to put on\nv1 བགོ་ v2 བགོས་ v3 བགོ་ v4 བགོ་
བགོས་|see བགོ་
བགོ་བ་|clothes
བགོད་|(TR) to divide\nv1 བགོད་ v2 བགོས་ v3 བགོ་ v4 བགོས་
བགོས་|see བགོད་
བགོ་|see བགོད་
བགོས་|see བགོད་
བགོས་|see བགོ་
བགོས་|see བགོད་
བགྱི་|see བགྱིད་
བགྱིད་|(HML for བྱེད་; TR) 1) to do; 2) to say; མཆོད་པ་བགྱིད་ to make offerings; སོ་ནམ་བགྱིད་ to cultivate fields\nv1 བགྱིད་ v2 བགྱིས་ v3 བགྱི་ v4 གྱིས་
བགྱིས་|see བགྱིད་
བགྱི་|see བགྱིད་
གྱིས་|see བགྱིད་
བགྱིས་|see བགྱིད་
བགྲང་|(TR) 1) to count; 2) to reckon, to consider\nv1 བགྲང་ v2 བགྲངས་ v3 བགྲང་ v4 བགྲང་
བགྲངས་|see བགྲང་
བགྲེས་པ་|(N) elder man; (A) elder
བགྲོ་|(INTR) to confer, to discuss\nv1 བགྲོ་ v2 བགྲོས་ v3 བགྲོ་ v4 བགྲོ་
བགྲོས་|see བགྲོ་
མགུལ་|neck
མགོ་་|head
མགོ་བོ་|head
མགོན་པོ་|patron, protector
མགོན་མེད་ཟས་སྦྱིན་|(PN) Mgon-med-zas-sbyin (Skt. Anāthapiṇḍada)
མགྱོགས་|(to be) quick
མགྱོགས་པོ་|quick
འགའ་|a few, some
འགལ་|(TR) to contradict (+ COM)
འགུམ་|(INTR) to die\nv1 འགུམ་ v2 གུམ་ v3 འགུམ་ v4 འགུམ་
གུམ་|see འགུམ་
འགུམས་|(TR) to kill\nv1 འགུམས་ v2 བཀུམ་ v3 དགུམ་ v4 ཁུམས་
བཀུམ་|see འགུམས་
དགུམ་|see འགུམས་
ཁུམས་|see འགུམས་
འགུལ་|(INTR) to quiver
འགེམས་|(TR) to rip, to destroy
འགེལ་|(TR) to carry\nv1 འགེལ་ v2 བཀལ་ v3 དགལ་ v4 ཁོལ་
བཀལ་|see འགེལ་
དགལ་|see འགེལ་
ཁོལ་|see འགེལ་
འགོད་|(TR) to furnish\nv1 འགོད་ v2 བཀོད་ v3 དགོད་ v4 ཁོད་
བཀོད་|see འགོད་
དགོད་|see འགོད་
ཁོད་|see འགོད་
འགོར་ཏི་|(PN) Ɣgor-ti, place name
འགྱུར་|(INTR) 1) to become; 2) to happen\nv1 འགྱུར་ v2 གྱུར་ v3 འགྱུར་ v4 འགྱུར་
གྱུར་|see འགྱུར་
འགྱེ་|(INTR) to split\nv1 འགྱེ་ v2 གྱེས་ v3 འགྱེ་ v4 འགྱེ་
གྱེས་|see འགྱེ་
འགྱེལ་|(INTR) to collapse, to fall\nv1 འགྱེལ་ v2 གྱེལ་ v3 འགྱེལ་ v4 འགྱེལ་
གྱེལ་|see འགྱེལ་
འགྲགས་|(INTR) to be called; to be known as (+ TERM)\nv1 འགྲགས་ v2 གྲགས་ v3 འགྲགས་ v4 འགྲགས་
གྲགས་|see འགྲགས་
འགྲན་སེམས་|quarrelsome temper
འགྲམ་|shore; side
འགྲུབ་|(INTR) to complete\nv1 འགྲུབ་ v2 གྲུབ་ v3 འགྲུབ་ v4 འགྲུབ་
གྲུབ་|see འགྲུབ་
འགྲེ་|(INTR) to roll one’s self
འགྲོ་|(INTR) 1) to go; 2) to pass (of time); 3) to become (+ TERM)\nv1 འགྲོ་ v2 སོང་ v3 འགྲོ་ v4 སོང་
སོང་|see འགྲོ་
སོང་|see འགྲོ་
འགྲོ་བ་|1) a being; 2) existence
འགྲོགས་|(INTR) to come together, to be accompanied (by + COM)
འགྲོང་|(HON for འཆི་; INTR) to die\nv1 འགྲོང་ v2 གྲོངས་ v3 འགྲོང་ v4 འགྲོང་
གྲོངས་|see འགྲོང་
འགྲོང་|(HON for གསོད་; TR) to kill\nv1 འགྲོང་ v2 བཀྲོངས་ v3 དགྲོངས་ v4 འགྲོང་
བཀྲོངས་|see འགྲོང་
དགྲོངས་|see འགྲོང་
འགྲོལ་|(TR) to untie\nv1 འགྲོལ་ v2 བཀྲོལ་ v3 དགྲོལ་ v4 ཁྲོལ་
བཀྲོལ་|see འགྲོལ་
དགྲོལ་|see འགྲོལ་
ཁྲོལ་|see འགྲོལ་
རྒན་པོ་|old man
རྒན་མོ་|1) old woman; 2) old
རྒལ་|(TR) to cross (+ DEL)\nv1 རྒལ་ v2 བརྒལ་ v3 བརྒལ་ v4 རྒོལ་
བརྒལ་|see རྒལ་
བརྒལ་|see རྒལ་
རྒོལ་|see རྒལ་
རྒུད་|(INTR) to grow weak, to decline
རྒོད་|vulture
རྒོད་མ་|mare
རྒོལ་|(TR) to fight (against + DAT)\nv1 རྒོལ་ v2 བརྒལ་ v3 བརྒལ་ v4 རྒོལ་
བརྒལ་|see རྒོལ་
བརྒལ་|see རྒོལ་
རྒྱ་|(PN) China
རྒྱ་གར་|(PN) India
རྒྱ་གར་སྐད་|Sanskrit, lit. “language of India”
རྒྱ་ནག་|(PN) China
རྒྱ་མཚོ་|ocean
རྒྱགས་|provisions
རྒྱང་མ་|distance
རྒྱང་ཚད་|(N) a while
རྒན་གཞོན་|age
རྒྱབ་|(N) the back
རྒྱབ་|(TR) to throw\nv1 རྒྱབ་ v2 བརྒྱབ་ v3 བརྒྱབ་ v4 རྒྱོབ་
བརྒྱབ་|see རྒྱབ་
བརྒྱབ་|see རྒྱབ་
རྒྱོབ་|see རྒྱབ་
རྒྱལ་|(INTR) to be victorious (over + DEL)
རྒྱལ་ཁམས་|kingdom, realm
རྒྱལ་པོ་|king
རྒྱལ་ཕྲན་|vassal
རྒྱལ་བུ་|prince
རྒྱལ་བྱེད་|(PN) Rgyal-byed (Skt. Jetṛ)
རྒྱལ་བློན་|king and minister
རྒྱལ་མོ་|queen
རྒྱལ་རབས་དཔག་བསམ་ལྗོན་ཤིང་|Rgyal rabs dpag bsam lǰon śiṅ, title of a historiographical work
རྒྱལ་ས་|throne
རྒྱལ་སྲིད་|1) government, reign; 2) dominion
རྒྱས་|(INTR) 1) to increase, to grow, to spread; 2) to be full of
རྒྱས་པ་|(PN) Rgyas-pa (Skt. Vyāsa)
རྒྱས་པར་|in detail; expandingly, extensively
རྒྱུ་སྐར་|star
རྒྱུག་|(INTR) to run\nv1 རྒྱུག་ v2 བརྒྱུགས་ v3 བརྒྱུག་ v4 རྒྱུག་
བརྒྱུགས་|see རྒྱུག་
བརྒྱུག་|see རྒྱུག་
རྒྱུད་|1) realm of existence; 2) tantra
རྒྱུན་|flow, stream
རྒྱུན་ཆད་|interruption
རྒྱུན་དུ་|constantly, continually
རྒྱུས་ཡོད་|familiar with; lit. having knowledge (of)
སྒོ་|door
སྒོ་|(TR) to say\nv1 སྒོ་ v2 བསྒོ་ v3 སྒོ་ v4 སྒོ་
