buddhaH|43?
bhagavAn|43
tathAgataH|43
arhan|43?
samyaksaMbuddhaH|43
vidyAcaraNasaMpannaH|43
sugataH|43
lokavit|43
anuttaraH|43
puruSadamyasArathiH|43?
zAstA|43
jinaH|43
lokajyeSThaH|43
sarvajJaH|43
trAyI|43
devAtidevaH|43
maharSiH|43
dharmasvAmI|43
RSabhaH|43
nAyakaH|43
pariNAyakaH|43
vinAyakaH|43
advayavAdI|43
zauddhodaniH|44
dazabalaH|44
mArajit|44
zAkyapuGgavaH|44
goptA|44
mahAtmA|44
vijayI|44
vibhuH|44
vizvaMtaraH|44
sarvadharmezvaraH|44
virAT|44
dhIraH|44
guNasAgaraH|44
zaraNyaH|44
zaraNam|44
vAdisiMhaH|44
narottamaH|44?
mArAbhibhuH|44?
apratipudgalaH|44?
vAntadoSaH|44
hataviSaH|44
anaGgajit|44
SaDabhijJaH|44
bhavAntakRt|44
aghahantA|44?
siddhArthaH|44?
zAkyasiMhaH|45
varArhaH|45
varada|45
vIraH|45
zamitA|45?
zAntapApaH|45
zItabhUtaH|45
zivamkaraH|45
nirdvandvah|45
nirmamaH|45
netA|45
niravadyaH|45
nirbhayaH|45
vItatRSNaH|45
nirAdAnaH|45
vizrutaH|45
zubhadharmAkaraH|45
zuciH|45
anupamaH|45
trikAlajJaH|45
vAdI|45
tridoSopahaH|45?
triprAtihAryasaMpannaH|45
nirmalaH|46
triskandhapathadezikaH|46
nirjvaraH|46
sUryavaMzaH|46
AGgirasaH|46
gautamaH|46
ikSvAkukulanandanaH|46
prabhuH|46
nAnAtathAgatanAmAni|46
vairocanaH|46
akSobhyaH|46
ratnasaMbhavaH|46
amitAbhaH|46
amoghasiddhiH|46
vipazyI|46
zikhI|46
vizvabhuk|46
krakucchanda|46
kakutsundaH|46
kanakamuniH|46
kAzyapaH|46
zAkyamuniH|46
dIpaMkaraH|46
padmanetraH|47
prahasitanetraH|47
ratnazikhI|47
meghasvaraH|47
salIlagajagAmI|47
lokAbhilASI|47
samantaprabhAbuddhabhUmiH|47
asamasamapaJcaskandhaH|47?
zIlaskandhah|47
samAdhiskandhaH|47
prajJAskandhaH|47
vimuktiskandhaH|47
vimuktijJAnadarzanaskandhaH|47
paJcajJAnAni|47?
dharmadhAtuvizuddhiH|47
AdarzajJAnam|47?
samatAjJAnam|47
pratyavekSaNAjJAnam|47
kRtyAnusthAnajJAnam|47
trikAyAH|47?
dharmakAyaH|47
sambhogakAyaH|47
nirmANakAyaH|47
dazatathAgatabalAni|48
sthAnAsthAnajJAnabalam|48
karmavipAkajJAnabalam|48
nAnAdhimuktijJAnabalam|48
nAnAdhAtujJAnabalam|48
indriyavarAvarajJAnabalam|48
sarvatragAmanIpratipaj jJAna|48
sarvadhyAnavimoksasamAdhi samApattisaMklezavyavadAnavyutthAnajJAnabalam|48
pUrvanivAsAnusmRtijJAnabalam|48
cyutyutpattijJAnabalam|48
AzravakSayabalam|48
catvAri tathAgatasya vaizAradyAni|48
sarvadharmAbhisaMbodhivaizAradyam|48
sarvAzravakSayajJAnavaizAradyam|48
antarAyikadharmAnanyathAtvanizcitavyAkaraNavaizAradyam|49
sarvasaMpadadhigamAyanairyANika pratipattathAtvavaizAradyam|49
aSTAdazAveNikabuddhadharmAH|49
nAsti tathAgatasya skhalitam|49
nAsti ravitam|49
nAstimuSitasmRtitA|49
nAsty asamAhitacittam|49
nAsti nAnAtvasamjJA|49
nAsty apratisaMkhyAyopekSA|49
nAsty cchandasya hAniH|49
nAsti vIryasya hANiH|49
nAsti smRtihAniH|49
nAsti samAdhihAniH|49
nAsti prajJAyA hAniH|49
nAsti vimuktihAniH|49
sarvakAyakarma jJAnapurvaMgamaM jJAnAnuparivarti|49
sarvavAkkarma jJAnapUrvaMgamam jJAnAnuparivarti|49
sarvamanaHkarma jJAnapUrvaMgamam jJAnAnuparivarti|50
atIte ऽdhvany asaGgam apratihataM jJAnadarzanaM pravartate|50
anAgate ऽdhvany asaGgam apratihataM jJAnadarzanaM pravartate|50
pratyutpanne ऽdhvany asaGgam apratihatam jJAnadarzanaM pravartate|50
dvAtriMzattathAgatasya mahAkaruNAH|50
nairAtmyAH sarva dharmAH sattvAz ca nairAtmyaM nAdhimucyante. atas tathAgatasya sattveSu mahAkaruNotpadyate|50
niHsattvAH sarvadharmAH|50
nirjivAH sarvadharmAH|50
niHpudgalAH sarvadharmAH|50
abhAvAH sarvadharmAH|50
aniketAH sarvadharmAH|50
anAlayAH sarvadharmAH|50
amamAH sarvadharmAH|50
asvAmikAH sarvadharmAH|50
avastukAH sarvadharmAH|50
ajAtAH sarvadharmAH|50
acyutAnutpannAH sarvadharmAH|51
asaMkliStAH sarvadharmAH|51
vigatarAgAH sarvadharmAH|51
vigatadveSAH sarvadharmAH|51
vigatamohAH sarvadharmAH|51
anAgatikAH sarvadharmAH|51?
agatikAH sarvadharmAH|51
anabhisamskArAH sarvadharmAH|51
aprapaJcAH sarvadharmAH|51
zUnyAH sarvadharmAH|51
animittAH sarvadharmAH|51
apraNihitAH sarvadharmAH|51?
anyonyavivAdasaMgRhIto vatAyaM lokasaMnivezo vyapAdakhiladveSapratipanna iti saMpazyan|51
viparyAsasaMprayukto vatAyaM lokasaMnivezo viSamamArgaprayAtaprapAtautpathamArgasthAyi|51
lubdho lobhAbhibhUto vatAyaM lokasaMnivezo ऽtRptaH paravittApahArI|51
dhanadhAnyagRhaputrabhAryatRSNAdAsA vateme sattvA asAre sArasaMjJinaH|51
