bar chad gcig pa|32
bar chad med pa'i lam|49
bar chad med pa'i ting nge 'dzin|30
bar du dge ba|36
bar du gcod pa'i chos rnams gzhan du mi 'gyur bar nges pa'i lung bstang pa la mi 'jigs pa|21
bar ma dor yong su mya ngan las 'das pa|32
bar snang la gnas pa|66
bcom ldan 'das|12
bcom ldan 'das kyi chos ni legs par gsungs pa|37
bcom ldan 'das kyi nyan thos kyi dge 'dun legs par zhugs pa|34
bcom ldan 'das kyis legs par gsungs pa'i chos 'dul ba ni legs par bstan pa|38
bcud kyi len|71
bdag med pa|48
bde bar gshegs pa|13
bdud|40
'bras bu che|69
brgya byin|40
brgyad pa'i sa|28
brjed byed|62
brten pa yod pa|39
brtson 'grus kyi dbang po|41
brtson 'grus kyi pha rol tu phyin pa|41
brtson 'grus kyi stobs|41
brtson 'grus nyams pa med pa|23
brtson 'grus yang dag byang chub kyi yan lag|41
bsam gtan dang rnam par thar pa dang ting nge 'dzin dang snyoms par 'jug pa dang kun nas nyon mongs pa dang rnam par byang ba dang ldan ba thams cad mkhyen pa'i stobs|19
bsam gtan gyi pha rol tu phyin ba|41
bsam gtan khyad par can|43
bse ru lta bu|31
bsgoms pa las byung ba'i bsod nams bya ba'i dngos po|56
bsgyur ba la ldem por dgongs pa|53
bslab pa'i gzhi|59
bsnyel ba med pa|22
bsnyen par rdzogs pa|57
bsod nams skyes|68
bsrabs pa'i sa|29
btang snyoms|42
btang snyoms yang dag byang chub kyi yan lag|41
bya ba'i cho ga dang yo byad ces skabs dang sbyar|59
bya ba nan tan du grub pa'i ye shes|17
byams pa|42
byang chub kyi yan lag bdun gyi ming la|41
byang chub sems dpa'|26
byang gi sgra mi snyan|65
byang grol|70
byas pa bsrang ba'i sa|29
byas pa bsrang ba'i sa byas brtogs pa'i sa|29
byed pa po|63
bzod ba|30
bzod pa'i pha rol tu phyin ba|41
ca co med pa|22
ched du brjod pa'i sde|35
chen po stong pa nyid|45
'chi 'pho ba dang skye ba mkhyen pa'i stobs|20
cho ga zhib mo|58
cho 'phrul gsum gyi ming la|25
chos dang rjes su mthun pa'i chos la zhugs pa|34
chos dang rjes su mthun par spyod pa|34
chos kyi dbyings rnam par dag pa|16
chos kyi rjes su 'brang ba|33
chos kyi sku|17
chos kyi sprin|28
chos rab tu rnam par 'byed pa yang dag byang chub kyi yan lag|41
chos thams cad mngon par rdzogs par byang chub pa la mi 'jigs pa|20
chos thams cad ni gzhi med pa|25
chos thams cad stong pa nyid|46
dad pa'i dbang po|41
dad pa'i stobs|41
dad pas mos pa|33
dad pas rjes su 'brang ba|33
dam pa'i chos kyi rnam grangs kyi ming la|35
'das pa'i dus la ma chags ma thogs pa'i ye shes mthong ba 'jug pa|25
dbang du bya ba|58
dbang phyug chen po che ba'i gnas|69
dbang po|40
dbang po lnga'i ming la|41
dbang po mchog dang mchog ma yin pa mkhyen pa'i stobs|19
dbyangs kyis bsnyad pa'i sde|35
dbyar sbyor|60
de bzhin gshegs pa|12
de bzhin gshegs pa'i mi 'jigs pa bzhi'i ming la|20
de bzhin gshegs pa'i stobs bcu'i ming la|18
de bzhin gshegs pa la 'khrul ba med pa|22
de bzhin gshegs pa so so'i mtshan la|15
de kho na'i don gyi phyogs gcig la rjes su zhugs pa|29
de lta bu byung ba'i sde|36
de ltar thogs na srid pa lan bdun pa|32
de ma thag ba'i rkyen|71
dga' ba|42
dga' ba yang dag byang chub kyi yan lag|41
dgag dbye|61
dga' ldan|67
dge bsnyen|56
dge chung|68
dge rgyas|68
dge sbyong|56
dge slong|56
dgongs pa bzhi'i ming la|53
dgra bcom pa|12
'di mthong ba la yod pa|38
dkar po rnam par mthong ba'i sa|28
dkyil 'khor|58
