sgrim|to focus (the mind)\ne.g. {rig pa sgrim}, {blo sgrim}
lhod yengs|Distracted, unfocused.\nWaldo interprets {sgrim} as “to be tense” or “to be tight”, but it really means “to be focused”, hence the use of {yengs}.
rda steng|Upper Dharamsala\ncf. {d+ha steng}, {rda shod}, {d+ha shod}
d+ha steng|Upper Dharamsala\ncf. {rda steng}, {rda shod}, {d+ha shod}
rda shod|Lower Dharamsala\ncf. {d+ha shod}, {rda steng}, {d+ha steng}
d+ha shod|Lower Dharamsala\ncf. {rda shod}, {rda steng}, {d+ha steng}
dge tshul slong|novice monastics ({dge tshul}) and bhikshus ({dge slong})
sdom 'bog|conferral of vows
o rtsed 'gran bsdur|Olympic games ({yig skad} – substituted with “Olympics {rtsed 'gran}” in a VOT audio recording)
lho ko ri ya|South Korea
nyin grangs|number of days ({yig skad})
rtsed 'gran|1) tournament\n2) “Games” or “Cup” (as a way to refer to a tournament)
pi cing|Beijing
zur za byed|to satirize (e.g. {rgya gzhung la zur za byas pa'i 'gul ris brnyan thung zhig 'don spel gnang 'dug} “They released an animated video satirizing the Chinese government”)
nang pa la|Nangpa La mountain pass
dmar bsad btang|to slaughter
lhag tu|especially, in particular ({yig skad} – substituted with “{lhag par du}” in a VOT audio recording)
bzang phyogs|1) the good side, the bright side of things\ne.g. {bzang phyogs nas lta na} “If you look from the bright side…”\ncf. {sdug phyogs}\n2) good, positive\ne.g. {bod nang gi 'gro ba mi'i thob thang gi gnas stangs la bzang phyogs kyi 'gyur ba gang yang mngon rgyu med pa mngon gsal/}\n“Report on the lack of any perceptible positive changes in the human rights situation within Tibet”
sdug phyogs|the bad side, the negative side\ncf. {bzang phyogs}
o lam pig|Olympic
gnon shugs sprod|to pressure
bskyar nan|insistent\n(the {bskyar} is apparently kind of pleonastic here)
bod don|the Tibetan cause
'khor ba|to elapse or pass (e.g. {lo ngo} {70} {'khor ba'i nyin mo} “the 70th anniversary”)
zhi cing phing|Xi Jinping (see also {zhi cin phing})
spyi tshogs dra lam|social media
zhi cin phing|Xi Jingping (see also {zhi cing phing})
khyon|in total (same meaning as {bsdom pas} and {khyon bsdoms})
btsan 'khrid byed|to abduct
blo 'tshab chen po|very worrying, very concerning
dogs gzhi|fear, suspicion
ci na|China
sems 'tshab chen po|very worried, very concerned
ldi li|Delhi
ji chags|how it is
tshogs gtso|1) president (of a group).\nFor the president of a country, see {srid 'dzin}.\nFor the vice-president of a group, see {tshogs gzhon}.\n2) chairman
tshogs gzhon|vice-president (of a group).\nFor the vice-president of a country, see {srid 'dzin gzhon pa}.\nFor the president of a group, see {tshogs gtso}.
gom bgrod|a march
lhan tshogs|1) association, e.g. {bod kyi bu+ed lhan tshogs} “Tibetan Women’s Association” (TWA).\n2) conference, e.g. {gsar 'god lhan tshogs} “press conference”.\n3) forum, e.g. {rgyal spyi'i dge 'dun pa'i lhan tshogs} “World Sangha Forum”.\n4) summit, e.g. G20 {lhan tshogs} “G-20 Summit”
sa gnas|region; regional
bkar nyar|detention; see also {bkag nyar}
bkag nyar|detention; see also {bkar nyar}
mnga' sde'i spyi khyab blon chen|Chief Minister (CM) (e.g. of an Indian province)
gros tshogs kyi tshogs gtso|Speaker (of the House)
drung che|Principal secretary
bod mi'i bla na med pa'i dbu khrid spyi nor gong sa skyabs mgon chen po mchog|{bod mi'i bla na med pa'i dbu khrid spyi nor \u0f38gong sa skyabs mgon chen po mchog} is the full title of His Holiness the Dalai Lama, commonly used when first mentioning him in news reports. Subsequent mentions of him usually take the form of {\u0f38gong sa \u0f38skyabs mgon chen po mchog} or {mgon po \u0f38gang nyid mchog} or {\u0f38gong sa mchog}.
sde pa|division (e.g. of an army)
bzhugs bzhag|a stop (H) (e.g. on a journey)
mtsho sna|Tsona, a place less than 100km north of the border with Tawang District, AP.\nOne of the places in Tibet that HHDL stopped at during his escape into exile.\nFor the next place, see {mang mang}.
mang mang|Marmang, a place about 20-30km SW of Tsona Town, and just north of Zemithang in AP.\nOne of the places in Tibet that HHDL stopped at during his escape into exile.\nFor the previous place, see {mtsho sna}.\nFor the next place, see {skas 'dzeg ma Ni}.
skas 'dzeg ma Ni|Khen-Dza-Mani or Khen-Dze-Mani, i.e. “Mani Staircase”, the place on the border of Tawang District, AP, where HHDL first entered India during his escape from Tibet.\nAlso seen spelled as {skas 'dzegs ma Ni} and {skes 'dzegs ma Ni}.\nFor the previous place, see {mang mang}.\nFor the next place, see {chu dwangs mo}.
