10 hral|torn.
12 ngu ru|teal.
12 rmu|= {dmu}.
12 zus|= {zug}.
13 brtsub|SANST.
13 ho|num.: 149.
13 so gri|a saw.
13 sog|v. {sob}.
14 a shu|apricot.
14 'bem|v. {ben}.
14 de pho|a cock.
14 gong la|above.
14 je kha|a deed.
14 ka pha|a tree.
14 phag sha|pork.
14 pha'u|= {pag}.
14 phra dog|envy.
14 rkang sor|toe.
14 seb|v. {gseb}.
14 ta re|v. {re}.
14 tsi|num. = 47.
15 bsa'|v. {gsa'}.
15 chos pa|a monk.
15 chu yi ro|salt.
15 ge|num. for 93.
15 'go mi|headman.
15 gshob|= {shob}.
15 khegs|v. {kha}.
15 lan dka'|SANST.
15 mi 'go|headman.
15 nyi nub|sunset.
15 sgur|v. {dgur}.
15 shen|= {ce na}.
15 skya nyil|zinc.
15 snyi|v. {rnyi}.
15 so pa|watchman.
15 tri ked|Ti ked.
15 za chag|nettle.
15 za za mo|SANST.
15 zla shun|SANST.
15 zos|v. {za ba}.
15 zur ba|to push.
15 zur ma|= {zur}.
16 car re|v. {car}.
16 ce|num. fig. 95.
16 'dang|v. {'dad}.
16 dar po|an adult.
16 di|num. fig. 41.
16 dpal 'dab|SANST.
16 gru pa|ferryman.
16 gzhi chen|SANST.
16 gzhor|v. {'jor}.
16 hi|= numeral 59.
16 ju|num. fig. 67.
16 khem|v. {khyem}.
16 klags|v. {klog}.
16 logs bcas|SANST.
16 'pheg|v. {pheg}.
16 rgas ka|old age.
16 rjes dngos|real.
16 rman pa|wounded.
16 seng|v. {gseng}.
16 sgor sgor|round.
16 shu mo za|pulse.
16 skong|v. {kong}.
17 a ru|= {a ru ra}.
17 blus|v. {blu ba}.
17 bri|v. {'bri ba}.
17 brnga ba|to reap.
17 cer re|= {ce re}.
17 chi|num. fig. 36.
17 chung lug|a lamb.
17 ci tsam|how much.
17 co|num. fig. 125.
17 'gang|v. {rgang}.
17 gang|what, which.
17 gas|v. {'gas pa}.
17 gcu ti|= {cu ti}.
17 gyeng|v. {gyang}.
17 hab sha|violence.
17 ka cha|= {ka ca}.
17 kha bsgos|advice.
17 kha phyis|napkin.
17 khong rtsil|suet.
17 klung ma|a river.
17 lcags g.ya'|rust.
17 lha ru|cartilage.
17 nge|num. fig. 94.
17 ngi|num. fig. 34.
17 nyu|num. fig. 68.
17 rdang|v. {gdang}.
17 rkun can|a thief.
17 rta dmag|cavalry.
17 sha 'bu|a maggot.
17 shor|v. {sho ro}.
17 so ga|= {sos ka}.
17 spri|SANST cream.
17 sra|for {sra ba}.
17 thi|num. fig. 40.
17 zu|num. fig.: 82.
18 'a na|for {'o na}.
18 be ge|v. {beg ge}.
18 bi chu|SANST moss.
18 bi Sha|‡ a poison.
18 brdeg cha|= {gri}.
18 bris|v. {'bri ba}.
18 brus|v. {'bru ba}.
18 bu yug|snow-storm.
18 bzlos|v. {zlo ba}.
18 char pa|v. {char}.
18 dpon po|v. {dpon}.
18 dzi|num. fig.: 49.
18 dzu|num. fig.: 79.
18 gcer ba|v. {bcer}.
18 go ca|v. {go cha}.
18 gsungs shol|SANST.
18 ka the|v. {ka ba}.
18 'khor g.ya'|latch.
18 khrel po|shameful.
18 khyo ga po|a hero.
18 lcud pa|v. {gcud}.
18 lo tho|an almanac.
18 mi gu|= {mi zhum}.
18 nad po|= {nad pa}.
18 nam gung|midnight.
18 nu sor|the nipple.
18 og ma|= {tsi tsu}.
18 phrob|v. {'phrob}.
18 rgol|v. {rgol ba}.
18 rnga pa|a drummer.
18 rtsa dbu ma|SANST.
18 sdu|SANST [also]S.
18 skyen|SANST Thorn.
18 so sor zas|sesame.
18 thod thod|v. {su}.
18 tsha ru|lamb-skin.
18 we|num. fig.: 110.
18 wi|num. fig. = 50.
18 wu|num. fig. = 80.
18 yo|num. fig.: 144.
19 al la|v. {a la la}.
19 bas mo|v. {bab mo}.
19 bcu ba|= {'chu ba}.
19 bral|v. {'bral ba}.
19 brob|v. {'brab pa}.
19 bro ma|v. {gro ma}.
19 bros|v. {'bros pa}.
19 bsil gdugs|parasol.
19 cha li|v. {cha ri}.
19 cha lu|v. {cha ri}.
19 chu ning|years ago.
19 ci tshe|= {ci tse}.
19 co dir|= {'ur dir}.
19 da lta|v. {da} III.
19 'dam po|= {log pa}.
19 dar yab|a silk-fan.
19 dbo ba|v. {'bo ba}.
19 'de ba|v. {lde ba}.
19 'de gu|v. {lde gu}.
19 do phrug|an orphan.
19 dze|num. fig.: 109.
19 dzo|num. fig.: 139.
19 gcu dong|screw-box.
19 glo sbab|wind-pine.
19 gos thung|trousers.
19 gso thig|cure-drop.
19 gud pa|= {'gud pa}.
19 gyer|v. {dgyer ba}.
19 gzheng|for {zheng}.
19 'ja' ris|v. {'ja'}.
19 jus|strategy (Jä.).
19 kha leb|cover, lid.
19 kha nar can|oblong.
19 kha ning|last year.
19 khor sa|= {kho ra}.
19 khra pa|a falconer.
19 khri gdugs|the sun.
19 khu gu|uncle (Cs.).
19 khye pa|SANST wide.
19 lcag sgor|iron pan.
19 lcu ba|v. {gcu ba}.
19 lhan te|= {dgu te}.
19 lhe ba|v. {sle ba}.
19 mgo klad|the brain.
19 mi ma|tears (Sch.).
19 mthi'u|v. {mthe'u}.
19 mun nag|= {mun pa}.
19 nam phyed|midnight.
19 nang gog|v. {ther}.
19 ngan na ba|the bad.
19 nya sag|fish-scale.
19 nye dus|now-a-days.
19 nyi sha|fresh meat.
19 phob|v. {'bebs pa}.
19 'phos|v. {'pho ba}.
19 phru gu|v. {phrug}.
19 ral ka|v. {ral gu}.
19 rdul ma|SANST dust.
19 rta gal|saddle-bag.
19 sgo khyi|watch-dog.
19 sgom|see {sgom pa}.
19 sgye'u|a small bag.
19 sho ra|= {shor ba}.
19 snag|a tribal name.
19 snyug shing|bamboo.
19 so zed|tooth-brush.
19 sus|instr. of {su}.
19 tsha khru|diarrhœa.
19 tsu|num. fig. = 77.
19 tu tsa|v. {ti tsa}.
19 wo|num. fig. = 140.
19 yal gas lhag|SANST.
19 zhum bu|= {zhi mi}.
20 'a na yang|although.
20 bde can|SANST happy.
20 bes|SANST the cheek.
20 bshu ba|v. {shu ba}.
20 bskum|pf. of {skum}.
20 bsrad|v. {brsod pa}.
20 btu ba|v. {'thu ba}.
20 bu tshab|= {bu dod}.
20 bzla ba|v. {zla ba}.
20 ce 'o|SANST certain.
20 chab brom|ice (Jä.).
20 che rgyu|= {che ba}.
20 chu bum|= {chu ban}.
20 chu ser|matter, pus.
20 chu sgang|a blister.
20 ci rgod|wild millet.
20 de 'ang|= {de yang}.
20 de ldan|SANST truth.
20 dmad|abuse, cursing.
20 dmur ba|v. {mur ba}.
20 dpon med|free (Cs.).
20 gang na|SANST where?
20 glegs ma|v. {glegs}.
20 gol ba|v. {'gol ba}.
20 gram sa|SANST stony.
20 gri'u|a small knife.
20 gsad pa|SANST death.
20 gsar stod|SANST new.
20 gsheg|v. {gshog pa}.
20 gshig|v. {gshib pa}.
20 'gud pa|v. {gud pa}.
20 gum pa|v. {'gum pa}.
20 gzungs bde ba|SANST.
20 hA lva|‡ SANST beer.
20 'jug ldog|obstacles.
20 kha gsar|new, fresh.
20 kha le|v. {khya le}.
20 kyi glong|the elbow.
20 lto chas|provisions.
20 mgo khra|scald-head.
20 myo ba|v. {smyo ba}.
20 nyams chen po|pride.
20 nyu ti|a pear (Ld.).
20 'og las|= {'og nas}.
20 'o yug|for {'u yug}.
20 pag zan|barley-meal.
20 phol ta|= {phen te}.
20 phrang|v. {'phrang}.
20 phros|v. {'phro ba}.
20 res mos|v. {re mos}.
20 rgud po|v. {gud po}.
20 rjes pa|v. {rje ba}.
20 rkang shu|foot-sore.
20 rnga ring|long tail.
20 rnyi thag|v. {rnyi}.
20 ser bu|v. {bser bu}.
20 ser can|SANST brass.
20 ser kha|v. {ser ka}.
20 sgal rta|pack-horse.
20 skos pa|v. {sko ba}.
20 skya rtsa|dry grass.
20 snya lo|= {rnya lo}.
20 so dkar|white tooth.
20 so gos|= {mchu} lip.
20 sred mo|sweet-heart.
20 stsel ba|= {sel ba}.
20 'thab 'bu|silk-worm.
20 thing|v. {'ding ba}.
20 tig tsha|= {ti tsa}.
20 tim bi|(Ts.) funnel.
20 to'u lo|the polecat.
20 zan po|v. {gzan po}.
20 za rkong|v. {rkong}.
20 ze|1. num. fig.: 12.
20 zhus pa|v. {zhu ba}.
21 a lus|in Sikk. = cat.
21 bla bres|v. {bla re}.
21 bton pa|v. {'don pa}.
21 btug pa|v. {gtug pa}.
21 bu snod|uterus, womb.
21 bya khrung|the crane.
21 byil mo|naked (Sch.).
21 bzab pa|v. {gzab pa}.
21 bzhus pa|v. {zhu ba}.
21 ched gnyer|v. {ched}.
21 chu log|floods (Jä.).
21 chum|rice (in Sikk.).
21 chun po can|wreathed.
21 dge chu|sacred water.
21 dgra lha|the war-god.
21 ding|for {ding sang}.
21 drangs|v. {'dren pa}.
21 dus skabs|v. {skabs}.
21 'gan can|responsible.
21 gcig byas|SANST only.
21 gdung skyob|umbrella.
21 glog pa|SANST silver.
